Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
346,Andreas Müller,SV Darmstadt,0.0,0.0,341,11,GER
346,Attila Szalai,TSG Hoffenheim,0.0,0.0,390,7,HUN
346,Christian Gross,SV Werder Bremen,0.0,0.0,792,20,GER
346,Cristian Gamboa,VfL Bochum,0.0,0.0,1187,22,CRC
346,Danny da Costa,1. FSV Mainz 05,0.0,0.0,826,19,GER
346,Edmond Tapsoba,Bayer 04 Leverkusen,0.0,0.0,2084,28,BFA
346,Florian Dietz,FC Köln,0.0,0.0,65,5,GER
346,Kevin Mbabu,FC Augsburg,0.0,0.0,2048,25,SUI
346,Kilian Sildillia,SC Freiburg,0.0,0.0,1804,27,FRA
346,Klaus Gjasula,SV Darmstadt,0.0,0.0,1366,22,ALB
346,Timothy Chandler,Eintracht Frankfurt,0.0,0.0,16,6,USA
346,Tom Bischof,TSG Hoffenheim,0.0,0.0,169,13,GER
