Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
260,Cedric Zesiger,VfL Wolfsburg,0.1,1.6,1634,23,SUI
260,Diogo Leite,1. FC Union Berlin,0.1,1.6,2708,32,POR
262,Julian Chabot,FC Köln,0.1,1.5,2707,32,GER
263,Sebastiaan Bornauw,VfL Wolfsburg,0.1,1.4,1431,20,BEL
264,Joseph Scally,Borussia Mönchengladbach,0.1,1.3,2236,31,USA
265,Oscar Vilhelmsson,SV Darmstadt,0.1,1.2,1375,26,SWE
265,Tomas Cvancara,Borussia Mönchengladbach,0.1,1.2,892,21,CZE
267,Davie Selke,FC Köln,0.1,0.5,1271,19,GER
268,Robin Knoche,1. FC Union Berlin,0.0,2.8,1916,24,GER
269,Jonathan Tah,Bayer 04 Leverkusen,0.0,2.6,2632,31,GER
269,Min-Jae Kim,Bayern München,0.0,2.6,1970,25,KOR
269,Sepp van den Berg,1. FSV Mainz 05,0.0,2.6,2838,33,NED
272,Willian Pacho,Eintracht Frankfurt,0.0,2.4,2970,33,ECU
273,Timo Hübers,FC Köln,0.0,2.0,2779,31,GER
274,Robin Koch,Eintracht Frankfurt,0.0,1.9,2740,31,GER
275,Maxence Lacroix,VfL Wolfsburg,0.0,1.8,2364,28,FRA
275,Milos Veljkovic,SV Werder Bremen,0.0,1.8,1921,23,SRB
277,Danilho Doekhi,1. FC Union Berlin,0.0,1.0,2160,24,NED
