Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
250,Dominik Kohr,1. FSV Mainz 05,1.0,0.0,2190,31,GER
250,Donny van de Beek,Eintracht Frankfurt,1.0,0.0,357,8,NED
250,Erhan Masovic,VfL Bochum,1.0,0.0,2218,29,SRB
250,Finn Becker,TSG Hoffenheim,1.0,0.0,596,22,GER
250,Florent Muslija,SC Freiburg,1.0,0.0,97,10,KVX
250,Frans Krätzig,Bayern München,1.0,0.0,52,4,GER
250,Frederik Rønnow,1. FC Union Berlin,1.0,0.0,2970,33,DEN
250,Giovanni Reyna,Borussia Dortmund,1.0,0.0,271,11,USA
250,Ivan Ordets,VfL Bochum,1.0,0.0,1879,24,UKR
250,Jan Thielmann,FC Köln,1.0,0.0,1588,22,GER
250,Jessic Ngankam,1. FSV Mainz 05,1.0,0.0,450,22,GER
250,Koen Casteels,VfL Wolfsburg,1.0,0.0,2250,25,BEL
250,Kouadio Koné,Borussia Mönchengladbach,1.0,0.0,1565,22,FRA
250,Leonardo Bonucci,1. FC Union Berlin,1.0,0.0,463,7,ITA
250,Mahmoud Dahoud,VfB Stuttgart,1.0,0.0,217,13,SYR
250,Matej Maglica,SV Darmstadt,1.0,0.0,1701,26,CRO
250,Maximilian Philipp,SC Freiburg,1.0,0.0,311,17,GER
250,Merveille Papela,1. FSV Mainz 05,1.0,0.0,253,11,GER
250,Odilon Kossounou,Bayer 04 Leverkusen,1.0,0.0,1812,22,CIV
250,Ramy Bensebaini,Borussia Dortmund,1.0,0.0,1030,17,ALG
250,Robert Gumny,FC Augsburg,1.0,0.0,477,13,POL
250,Salih Özcan,Borussia Dortmund,1.0,0.0,1179,23,TUR
250,Sepp van den Berg,1. FSV Mainz 05,1.0,0.0,2838,33,NED
250,Thomas Meunier,Borussia Dortmund,1.0,0.0,588,8,BEL
250,Timo Hübers,FC Köln,1.0,0.0,2779,31,GER
250,Václav Cerny,VfL Wolfsburg,1.0,0.0,923,22,CZE
250,Willi Orban,RB Leipzig,1.0,0.0,1583,19,HUN
250,Yannik Keitel,SC Freiburg,1.0,0.0,921,15,GER
