Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
227,Castello Lukeba,RB Leipzig,0.1,42.9,2185,32,FRA
228,Lukas Kübler,SC Freiburg,0.1,37.5,1848,26,GER
229,Anthony Rouault,VfB Stuttgart,0.1,33.3,1008,22,FRA
229,Lukas Klostermann,RB Leipzig,0.1,33.3,1433,25,GER
229,Noah Weisshaupt,SC Freiburg,0.1,33.3,744,24,GER
229,Rani Khedira,1. FC Union Berlin,0.1,33.3,1350,20,GER
233,Diogo Leite,1. FC Union Berlin,0.1,30.8,2708,32,POR
234,Min-Jae Kim,Bayern München,0.1,30.0,1970,25,KOR
235,David Raum,RB Leipzig,0.1,28.6,2743,31,GER
235,Norman Theuerkauf,1. FC Heidenheim 1846,0.1,28.6,1257,25,GER
235,Willi Orban,RB Leipzig,0.1,28.6,1583,19,HUN
238,Fabian Holland,SV Darmstadt,0.1,27.3,1847,23,GER
239,Aleksandar Pavlovic,Bayern München,0.1,25.0,1228,19,GER
239,Christian Gross,SV Werder Bremen,0.1,25.0,792,20,GER
239,Christoph Zimmermann,SV Darmstadt,0.1,25.0,1216,19,GER
239,Philipp Max,Eintracht Frankfurt,0.1,25.0,1357,23,GER
243,Felix Uduokhai,FC Augsburg,0.1,23.1,2922,33,GER
244,Angelo Stiller,VfB Stuttgart,0.1,22.2,2780,32,GER
244,Christoph Klarer,SV Darmstadt,0.1,22.2,2356,30,AUT
246,Lennard Maloney,1. FC Heidenheim 1846,0.1,21.4,2292,29,USA
247,Julian Chabot,FC Köln,0.1,21.1,2707,32,GER
248,Matej Maglica,SV Darmstadt,0.1,20.0,1701,26,CRO
248,Willian Pacho,Eintracht Frankfurt,0.1,20.0,2970,33,ECU
250,Emre Can,Borussia Dortmund,0.1,17.6,1956,25,GER
250,Erhan Masovic,VfL Bochum,0.1,17.6,2218,29,SRB
252,Benedikt Gimber,1. FC Heidenheim 1846,0.1,16.7,2026,24,GER
252,Cristian Gamboa,VfL Bochum,0.1,16.7,1187,22,CRC
252,Danny da Costa,1. FSV Mainz 05,0.1,16.7,826,19,GER
252,Kevin Kampl,RB Leipzig,0.1,16.7,1360,26,SVN
252,Marvin Friedrich,Borussia Mönchengladbach,0.1,16.7,1561,24,GER
252,Senne Lynen,SV Werder Bremen,0.1,16.7,1791,32,BEL
