Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
285,Jordy Makengo,SC Freiburg,5.0,0.4,1022,20,FRA
285,Kevin Akpoguma,TSG Hoffenheim,5.0,0.4,1095,17,NGA
289,Alex Kral,1. FC Union Berlin,5.0,0.3,1365,24,CZE
289,Ko Itakura,Borussia Mönchengladbach,5.0,0.3,1598,20,JPN
289,Lukas Klostermann,RB Leipzig,5.0,0.3,1433,25,GER
289,Marvin Friedrich,Borussia Mönchengladbach,5.0,0.3,1561,24,GER
289,Niklas Süle,Borussia Dortmund,5.0,0.3,1509,23,GER
289,Rani Khedira,1. FC Union Berlin,5.0,0.3,1350,20,GER
295,Jonathan Tah,Bayer 04 Leverkusen,5.0,0.2,2632,31,GER
295,Matthias Ginter,SC Freiburg,5.0,0.2,1918,23,GER
297,Bryan Zaragoza,Bayern München,4.0,2.0,178,7,ESP
298,Mergim Berisha,TSG Hoffenheim,4.0,1.4,263,8,GER
299,Moritz-Broni Kwarteng,VfL Bochum,4.0,1.3,275,11,GER
299,Pep Biel,FC Augsburg,4.0,1.3,274,11,ESP
301,Denis Thomalla,1. FC Heidenheim 1846,4.0,0.8,432,21,GER
301,Mikkel Kaufmann,1. FC Union Berlin,4.0,0.8,479,18,DEN
303,Patric Pfeiffer,FC Augsburg,4.0,0.7,509,11,GER
304,Julian Malatini,SV Werder Bremen,4.0,0.6,602,11,ARG
304,Patrick Wimmer,VfL Wolfsburg,4.0,0.6,594,14,AUT
304,Thomas Meunier,Borussia Dortmund,4.0,0.6,588,8,BEL
307,Tim Oermann,VfL Bochum,4.0,0.5,709,16,GER
308,Castello Lukeba,RB Leipzig,4.0,0.2,2185,32,FRA
308,Danilho Doekhi,1. FC Union Berlin,4.0,0.2,2160,24,NED
308,Erhan Masovic,VfL Bochum,4.0,0.2,2218,29,SRB
308,Ivan Ordets,VfL Bochum,4.0,0.2,1879,24,UKR
308,Lukas Kübler,SC Freiburg,4.0,0.2,1848,26,GER
308,Moritz Jenz,VfL Wolfsburg,4.0,0.2,1745,22,GER
314,Manuel Riemann,VfL Bochum,4.0,0.1,2970,33,GER
314,Robin Koch,Eintracht Frankfurt,4.0,0.1,2740,31,GER
316,Borna Sosa,VfB Stuttgart,3.0,6.1,44,2,CRO
317,Patrick Herrmann,Borussia Mönchengladbach,3.0,3.5,78,8,GER
318,Kjell Wätjen,Borussia Dortmund,3.0,2.6,104,2,GER
319,Chris Bedia,1. FC Union Berlin,3.0,1.9,139,7,CIV
320,Braydon Manu,SV Darmstadt,3.0,1.6,171,4,GHA
320,Jean Bahoya,Eintracht Frankfurt,3.0,1.6,173,8,FRA
322,Borja Iglesias,Bayer 04 Leverkusen,3.0,1.1,252,7,ESP
322,Merveille Papela,1. FSV Mainz 05,3.0,1.1,253,11,GER
324,Maximilian Philipp,SC Freiburg,3.0,0.9,311,17,GER
325,Danilo Soares,VfL Bochum,3.0,0.8,351,5,BRA
325,Donny van de Beek,Eintracht Frankfurt,3.0,0.8,357,8,NED
325,Sasa Kalajdzic,Eintracht Frankfurt,3.0,0.8,329,5,AUT
328,Attila Szalai,SC Freiburg,3.0,0.7,390,7,HUN
329,Sebastian Polter,SV Darmstadt,3.0,0.6,444,9,GER
330,Tim Breithaupt,FC Augsburg,3.0,0.4,625,16,GER
331,Tim Siersleben,1. FC Heidenheim 1846,3.0,0.3,909,14,GER
332,Christoph Zimmermann,SV Darmstadt,3.0,0.2,1216,19,GER
332,Dan-Axel Zagadou,VfB Stuttgart,3.0,0.2,1453,19,FRA
332,John Anthony Brooks,TSG Hoffenheim,3.0,0.2,1539,21,USA
332,Matthijs de Ligt,Bayern München,3.0,0.2,1389,22,NED
332,Niklas Dorsch,FC Augsburg,3.0,0.2,1387,21,GER
332,Philipp Lienhart,SC Freiburg,3.0,0.2,1265,15,AUT
332,Sebastiaan Bornauw,VfL Wolfsburg,3.0,0.2,1431,20,BEL
339,Benedikt Gimber,1. FC Heidenheim 1846,3.0,0.1,2026,24,GER
339,Kevin Vogt,1. FC Union Berlin,3.0,0.1,2643,32,GER
339,Manuel Gulde,SC Freiburg,3.0,0.1,2048,27,GER
339,Michael Zetterer,SV Werder Bremen,3.0,0.1,2430,27,GER
339,Nico Elvedi,Borussia Mönchengladbach,3.0,0.1,2485,30,SUI
339,Patrick Mainka,1. FC Heidenheim 1846,3.0,0.1,3060,34,GER
339,Robin Knoche,1. FC Union Berlin,3.0,0.1,1916,24,GER
346,Ryan Gravenberch,Bayern München,2.0,20.0,9,1,NED
347,Timothy Chandler,Eintracht Frankfurt,2.0,11.3,16,6,USA
348,Dzenan Pejcinovic,VfL Wolfsburg,2.0,5.5,33,4,GER
349,Anwar El-Ghazi,1. FSV Mainz 05,2.0,3.5,51,3,NED
349,Frans Krätzig,Bayern München,2.0,3.5,52,4,GER
351,Florian Dietz,FC Köln,2.0,2.8,65,5,GER
351,Kenneth Schmidt,SC Freiburg,2.0,2.8,64,5,GER
353,Frank Ronstadt,SV Darmstadt,2.0,2.5,73,4,GER
354,Nelson Weiper,1. FSV Mainz 05,2.0,1.5,121,5,GER
355,Jens Petter Hauge,Eintracht Frankfurt,2.0,1.3,138,10,NOR
356,Fabio Carvalho,RB Leipzig,2.0,1.1,158,9,POR
356,Lovro Zvonarek,Bayern München,2.0,1.1,160,5,CRO
358,Timo Werner,RB Leipzig,2.0,0.9,204,8,GER
359,Christoph Kramer,Borussia Mönchengladbach,2.0,0.8,240,14,GER
359,Fabian Schnellhardt,SV Darmstadt,2.0,0.8,228,10,GER
359,Jacob Steen Christensen,FC Köln,2.0,0.8,216,7,DEN
359,Paul Jaeckel,1. FC Union Berlin,2.0,0.8,230,6,GER
363,Eljif Elmas,RB Leipzig,2.0,0.7,256,14,MKD
364,Kilian Fischer,VfL Wolfsburg,2.0,0.6,292,6,GER
364,Nicolas Cozza,VfL Wolfsburg,2.0,0.6,278,6,FRA
366,Amin Sarr,VfL Wolfsburg,2.0,0.5,377,14,SWE
367,Leonardo Bonucci,1. FC Union Berlin,2.0,0.4,463,7,ITA
367,Robert Gumny,FC Augsburg,2.0,0.4,477,13,POL
369,Amos Pieper,SV Werder Bremen,2.0,0.3,591,7,GER
369,Stanley N'Soki,TSG Hoffenheim,2.0,0.3,632,11,FRA
371,Eric Dier,Bayern München,2.0,0.2,1166,15,ENG
