Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
286,Marvin Friedrich,Borussia Mönchengladbach,0.6,0.0,1561,24,GER
286,Stefan Schimmer,1. FC Heidenheim 1846,0.6,0.0,141,16,GER
294,Aurelio Buta,Eintracht Frankfurt,0.5,1.0,1744,30,POR
294,Christian Günter,SC Freiburg,0.5,1.0,1064,15,GER
294,Maximilian Philipp,SC Freiburg,0.5,1.0,311,17,GER
294,Noah Weisshaupt,SC Freiburg,0.5,1.0,744,24,GER
298,Bryan Zaragoza,Bayern München,0.5,0.0,178,7,ESP
298,Edimilson Fernandes,1. FSV Mainz 05,0.5,0.0,1284,21,SUI
298,Jakub Kaminski,VfL Wolfsburg,0.5,0.0,465,17,POL
298,Jonas Föhrenbach,1. FC Heidenheim 1846,0.5,0.0,2790,33,GER
298,Klaus Gjasula,SV Darmstadt,0.5,0.0,1366,22,ALB
298,Nelson Weiper,1. FSV Mainz 05,0.5,0.0,121,5,GER
298,Patric Pfeiffer,FC Augsburg,0.5,0.0,509,11,GER
298,Philipp Förster,VfL Bochum,0.5,0.0,378,13,GER
298,Thomas Meunier,Borussia Dortmund,0.5,0.0,588,8,BEL
298,Umut Tohumcu,TSG Hoffenheim,0.5,0.0,1012,20,GER
298,Willi Orban,RB Leipzig,0.5,0.0,1583,19,HUN
309,Leonidas Stergiou,VfB Stuttgart,0.4,1.0,587,15,SUI
309,Niklas Süle,Borussia Dortmund,0.4,1.0,1509,23,GER
311,Braydon Manu,SV Darmstadt,0.4,0.0,171,4,GHA
311,Christoph Zimmermann,SV Darmstadt,0.4,0.0,1216,19,GER
311,Denis Thomalla,1. FC Heidenheim 1846,0.4,0.0,432,21,GER
311,Emir Karic,SV Darmstadt,0.4,0.0,1781,27,AUT
311,Kilian Fischer,VfL Wolfsburg,0.4,0.0,292,6,GER
311,Leart Paqarada,FC Köln,0.4,0.0,1073,17,KVX
311,Norman Theuerkauf,1. FC Heidenheim 1846,0.4,0.0,1257,25,GER
311,Rani Khedira,1. FC Union Berlin,0.4,0.0,1350,20,GER
311,Senne Lynen,SV Werder Bremen,0.4,0.0,1791,32,BEL
311,Tom Bischof,TSG Hoffenheim,0.4,0.0,169,13,GER
321,Rogério,VfL Wolfsburg,0.3,1.0,906,13,BRA
321,Skelly Alvero,SV Werder Bremen,0.3,1.0,121,6,FRA
323,Bartol Franjic,SV Darmstadt,0.3,0.0,1232,20,CRO
323,Christian Gross,SV Werder Bremen,0.3,0.0,792,20,GER
323,Clemens Riedel,SV Darmstadt,0.3,0.0,754,14,GER
323,Danny da Costa,1. FSV Mainz 05,0.3,0.0,826,19,GER
323,Denis Huseinbasic,FC Köln,0.3,0.0,1627,26,BIH
323,Fabio Torsiello,SV Darmstadt,0.3,0.0,147,10,ITA
323,Finn Becker,TSG Hoffenheim,0.3,0.0,596,22,GER
323,Florian Dietz,FC Köln,0.3,0.0,65,5,GER
323,Florian Pick,1. FC Heidenheim 1846,0.3,0.0,315,22,GER
323,Frans Krätzig,Bayern München,0.3,0.0,52,4,GER
323,Grant-Leon Ranos,Borussia Mönchengladbach,0.3,0.0,42,9,ARM
323,Jérome Roussillon,1. FC Union Berlin,0.3,0.0,743,23,FRA
323,Kevin Akpoguma,TSG Hoffenheim,0.3,0.0,1095,17,NGA
323,Merveille Papela,1. FSV Mainz 05,0.3,0.0,253,11,GER
323,Moritz Jenz,VfL Wolfsburg,0.3,0.0,1745,22,GER
323,Omar Traoré,1. FC Heidenheim 1846,0.3,0.0,2474,31,GER
323,Pascal Stenzel,VfB Stuttgart,0.3,0.0,1068,23,GER
323,Samuel Bamba,Borussia Dortmund,0.3,0.0,45,2,GER
341,Niklas Stark,SV Werder Bremen,0.2,2.0,1086,17,GER
342,Chris Bedia,1. FC Union Berlin,0.2,1.0,139,7,CIV
342,Kevin Kampl,RB Leipzig,0.2,1.0,1360,26,SVN
342,Marco Friedl,SV Werder Bremen,0.2,1.0,2198,25,AUT
342,Mert Kömür,FC Augsburg,0.2,1.0,116,4,TUR
342,Philipp Max,Eintracht Frankfurt,0.2,1.0,1357,23,GER
347,Bambase Conte,TSG Hoffenheim,0.2,0.0,43,7,GER
347,Benno Schmitz,FC Köln,0.2,0.0,1154,22,GER
347,Bouna Sarr,Bayern München,0.2,0.0,105,2,SEN
347,David Jurasek,TSG Hoffenheim,0.2,0.0,490,13,CZE
347,Fabian Schnellhardt,SV Darmstadt,0.2,0.0,228,10,GER
347,Fabio Carvalho,RB Leipzig,0.2,0.0,158,9,POR
347,Filip Stojilkovic,SV Darmstadt,0.2,0.0,148,6,SUI
347,Irvin Cardona,FC Augsburg,0.2,0.0,51,3,FRA
347,Jannik Müller,SV Darmstadt,0.2,0.0,1133,16,GER
347,Jesper Lindstrøm,Eintracht Frankfurt,0.2,0.0,84,1,DEN
347,Jordy Makengo,SC Freiburg,0.2,0.0,1022,20,FRA
347,Justin Diehl,FC Köln,0.2,0.0,165,7,GER
347,Lilian Egloff,VfB Stuttgart,0.2,0.0,103,5,GER
347,Patrick Herrmann,Borussia Mönchengladbach,0.2,0.0,78,8,GER
347,Robert Gumny,FC Augsburg,0.2,0.0,477,13,POL
347,Sacha Boey,Bayern München,0.2,0.0,109,2,FRA
347,Salih Özcan,Borussia Dortmund,0.2,0.0,1179,23,TUR
347,Sasa Kalajdzic,Eintracht Frankfurt,0.2,0.0,329,5,AUT
347,Shio Fukuda,Borussia Mönchengladbach,0.2,0.0,33,5,JPN
347,Stefan Bell,1. FSV Mainz 05,0.2,0.0,669,10,GER
347,Stefan Lainer,Borussia Mönchengladbach,0.2,0.0,749,15,AUT
347,Tim Siersleben,1. FC Heidenheim 1846,0.2,0.0,909,14,GER
